,0
0,b'88'
1,b'108'
2,b'139'
3,b'159'
4,b'265'
5,b'350'
6,b'351'
7,b'403'
8,b'410'
9,b'424'
10,b'428'
11,b'430'
12,b'470'
13,b'476'
14,b'484'
15,b'504'
16,b'506'
17,b'531'
18,b'544'
19,b'546'
20,b'628'
21,b'630'
22,b'680'
23,b'681'
24,b'685'
25,b'687'
26,b'728'
27,b'742'
28,b'763'
29,b'765'
30,b'766'
31,b'768'
32,b'772'
33,b'801'
34,b'853'
35,b'854'
36,b'867'
37,b'868'
38,b'870'
39,b'915'
40,b'932'
41,b'991'
42,b'992'
43,b'997'
44,b'1002'
45,b'1006'
46,b'1061'
47,b'1062'
48,b'1063'
49,b'1066'
50,b'1070'
51,b'1158'
52,b'1166'
53,b'1254'
54,b'1257'
55,b'1313'
56,b'1317'
57,b'1552'
58,b'1612'
59,b'1622'
60,b'1651'
61,b'1652'
62,b'1676'
63,b'1684'
64,b'1739'
65,b'1741'
66,b'1756'
67,b'1757'
68,b'1793'
69,b'1797'
70,b'1819'
71,b'1820'
72,b'1829'
73,b'1834'
74,b'1835'
75,b'1851'
76,b'1852'
77,b'1853'
78,b'1872'
79,b'1890'
80,b'1925'
81,b'1942'
82,b'1943'
83,b'1954'
84,b'2016'
85,b'2017'
86,b'2031'
87,b'2053'
88,b'2057'
89,b'2081'
90,b'2091'
91,b'2106'
92,b'2108'
93,b'2141'
94,b'2159'
95,b'2166'
96,b'2171'
97,b'2191'
98,b'2202'
99,b'2212'
100,b'2239'
101,b'2240'
102,b'2276'
103,b'2278'
104,b'2285'
105,b'2286'
106,b'2317'
107,b'2370'
108,b'2412'
109,b'4779'
110,b'4807'
111,b'4826'
112,b'4840'
113,b'4857'
114,b'4884'
115,b'4900'
116,b'4939'
117,b'4958'
118,b'5023'
119,b'5104'
120,b'5151'
121,b'5165'
122,b'5210'
123,b'5236'
124,b'5249'
125,b'5253'
126,b'5276'
127,b'5279'
128,b'5349'
129,b'5353'
130,b'5395'
131,b'5486'
132,b'5577'
133,b'5644'
134,b'5651'
135,b'5717'
136,b'5718'
137,b'5720'
138,b'5726'
139,b'5741'
140,b'5748'
141,b'5757'
142,b'5768'
143,b'5772'
144,b'5776'
145,b'5779'
146,b'5784'
147,b'5798'
148,b'5800'
149,b'5811'
150,b'5822'
151,b'5830'
152,b'5831'
153,b'5832'
154,b'5836'
155,b'5837'
156,b'5856'
157,b'5860'
158,b'5865'
159,b'5867'
160,b'5874'
161,b'5890'
162,b'5893'
163,b'5907'
164,b'5921'
165,b'5950'
166,b'5984'
167,b'5993'
168,b'6008'
169,b'6009'
170,b'6010'
171,b'6011'
172,b'6012'
173,b'6013'
174,b'6016'
175,b'6017'
176,b'6019'
177,b'6020'
178,b'6021'
179,b'6022'
180,b'6023'
181,b'6024'
182,b'6025'
183,b'6030'
184,b'6034'
185,b'6035'
186,b'6036'
187,b'6038'
188,b'6039'
189,b'6040'
190,b'6041'
191,b'6042'
192,b'6043'
