iter,p_neig,p_grot
1,2.16867077772631e-05,5.89350527864395e-06
2,6.23365689103954e-06,9.84121444115732e-07
3,8.34572058130697e-06,1.18411225842091e-06
4,1.11364653540968e-05,1.6095010591162e-06
5,2.35910757014246e-07,5.0913916030272e-06
6,3.41870651591458e-05,1.06740230901057e-05
7,3.84292366134405e-06,1.87823979577103e-06
8,2.59271451257491e-07,1.53509857199531e-06
9,5.15639042691607e-05,8.19375873477431e-06
10,1.27169382341051e-06,1.4294168524225e-06
11,3.60737357119278e-11,7.89170273395592e-06
12,2.14428661630135e-05,7.00788943241748e-06
13,1.40576009370458e-06,2.41164340182636e-06
14,1.97278756598727e-06,3.40201745373017e-06
15,1.80011550512552e-06,3.31591116953072e-06
16,2.71106839349741e-05,3.43750454466262e-06
17,6.85883831189778e-06,3.43979258484762e-06
18,6.40043174833012e-07,2.6919884397836e-06
19,2.60342442643148e-05,2.17002794349112e-06
20,6.85553864631537e-06,3.39399552487093e-06
21,1.1067413707753e-05,5.19233271151554e-06
22,1.5222305512832e-05,1.95758910524123e-06
23,1.19995946454012e-05,1.38561796172085e-07
24,2.9071691167474e-06,3.36283881699192e-06
25,2.56373053945186e-05,8.74333525621438e-06
26,1.55683522411475e-05,1.39215359403397e-06
27,2.73246837743998e-06,1.11809793219418e-05
28,3.2912129509343e-06,3.69668483624756e-07
29,2.95698865452896e-05,1.27583449922079e-06
30,3.26782734942405e-09,6.25598581852684e-07
31,1.31681866697095e-05,1.03981279583593e-06
32,2.7195207171604e-13,2.19400329541098e-06
33,9.42137506946355e-13,1.84464823609132e-06
34,1.61684630589632e-07,1.16948044901056e-05
35,7.07253903322404e-07,1.87443546430194e-06
36,9.53723410500044e-06,2.52166583401742e-06
37,3.07855588724528e-05,6.79977737377594e-06
38,4.67017339125207e-07,1.54818458770184e-06
39,1.10171704597437e-06,1.52312836945782e-05
40,4.23955671181171e-06,7.39002904218729e-06
41,7.31035701101176e-07,3.22205477094863e-05
42,5.23927533852887e-07,1.10772554653905e-05
43,1.00721006479307e-05,2.78931117244511e-05
44,9.17872724885913e-06,3.0814541080282e-06
45,2.66418322374585e-06,7.6202448475069e-07
46,1.59056117651962e-05,4.22274562440948e-05
47,8.24147759571722e-07,3.68220438239699e-06
48,1.36414575639551e-06,1.62388622022839e-06
49,6.19317503592312e-06,5.41714549681456e-06
50,8.34811445864461e-06,7.87994588161802e-06
51,6.48133577930104e-05,4.83618666836387e-06
52,3.35353826443076e-13,4.92815472225314e-06
53,1.35688449944979e-05,1.22985233297346e-06
54,5.92260043740888e-07,2.71392308229735e-06
55,3.25364091191577e-08,1.38480334020226e-06
56,3.35079846979798e-06,1.6061523667338e-05
57,1.23705683022792e-05,3.04335128261674e-06
58,8.93471087798921e-06,2.04092391617864e-06
59,2.22129651843973e-06,7.50298555442517e-06
60,6.79587972813593e-07,2.66233334600082e-06
61,1.65772586800278e-06,1.81051400658094e-05
62,5.41555278914965e-06,5.33552965426834e-06
63,2.98392055226338e-05,4.07993383119449e-07
64,1.22964747422744e-05,2.08983661372943e-05
65,3.43342601815819e-06,3.231101333084e-06
66,7.01628725216906e-06,4.4989680458468e-06
67,4.11108475545177e-06,1.24897936124703e-06
68,2.37263446487727e-05,9.88117676239281e-06
69,6.6780709996163e-06,2.18241048371077e-05
70,2.25899235218552e-06,4.9495756084147e-07
71,2.94135800065678e-05,3.35463215971174e-06
72,6.32945374736515e-06,5.81797878670456e-06
73,4.89486665902329e-06,2.60223644366855e-06
74,3.81372688337771e-08,8.29034981922294e-06
75,5.18235698650264e-13,4.69156056130039e-06
76,3.25593834384682e-06,6.6468915961354e-06
77,2.73828760528223e-06,1.92447473992623e-07
78,3.927962315109e-06,1.42535419387974e-05
79,1.25964630689406e-08,6.53429562749829e-06
80,5.57241059626142e-06,1.34192938620097e-05
81,3.88332555964099e-06,1.34594147773505e-06
82,9.89284540639798e-06,1.02938343764221e-05
83,5.14522757913001e-06,9.18300518117593e-07
84,1.94904147835557e-05,1.33517073922082e-06
85,2.15948014709336e-06,3.00329961317404e-07
86,6.04951264149197e-10,3.18852511469219e-06
87,4.3648101223376e-06,4.07901118619053e-06
88,1.59273220385554e-06,2.92970243976818e-06
89,3.32467851611159e-05,4.0753041190518e-06
90,1.08876680584897e-06,6.09458668603777e-06
91,4.69079124362432e-06,1.72297077518625e-06
92,4.69121450018965e-07,5.05991511068996e-05
93,5.72161758149356e-06,1.22264489026272e-06
94,3.54939946254799e-06,3.45825908437229e-06
95,1.15635190142189e-06,3.11956428213718e-06
96,1.31154592152327e-06,3.41648295939327e-07
97,1.89525049296371e-05,2.41235537716196e-06
98,4.67561648455047e-06,4.32537649015889e-06
99,6.65638166371662e-06,4.24130192223125e-06
100,1.70881318824527e-05,3.4553905807685e-07
101,6.20543194744856e-06,2.14784698837201e-06
102,1.1415486653291e-05,4.23817678988502e-06
103,5.48533576045488e-06,3.14300099165416e-06
104,6.78541091558378e-07,1.69915727855178e-05
105,1.42801963691163e-05,3.46289116170096e-06
106,3.67717455609123e-07,1.59846697787327e-06
107,2.21175359035501e-06,1.52598820264669e-05
108,7.93255167733618e-07,1.46415872987773e-06
109,1.6708298541135e-12,7.94276062839644e-06
110,3.21778526681964e-05,9.47005857495647e-06
111,5.83196876621558e-06,1.74854558103572e-06
112,4.03068608651647e-06,4.17966138561052e-06
113,2.3020096342789e-05,2.08520337891409e-06
114,3.8653037651136e-06,1.61186172543371e-05
115,1.56573448103868e-05,7.55060792862296e-06
116,5.23205005118715e-05,2.91531877598532e-06
117,2.48380466850366e-06,4.11832364639663e-05
118,2.07603222563475e-05,9.39826109239687e-06
119,2.87362459066771e-06,1.17698141251572e-06
120,6.91323275698911e-06,2.71285386069167e-06
121,3.95312883536021e-05,1.2640249180683e-05
122,3.47560214351725e-05,5.91784147036244e-06
123,3.9880126296064e-07,4.25570863637058e-06
124,3.20521375232991e-05,7.54562216194705e-07
125,4.75788586275338e-07,7.21896903292323e-06
126,3.83870379819324e-06,4.50368109287814e-07
127,1.32102322273542e-07,1.64124538075563e-06
128,1.2059082280315e-06,2.57078195079807e-06
129,7.36843996745102e-06,3.04315599735714e-08
130,1.80773798667473e-07,7.05422086105802e-06
131,1.29382969901627e-06,1.31155975868479e-06
132,9.10013327827685e-06,2.1912864228779e-06
133,1.96164271005556e-06,1.13628218530359e-05
134,4.87569934455167e-05,1.31192550625528e-06
135,1.67294389390601e-07,5.53555030977096e-07
136,4.05166590768025e-07,1.38159792362184e-05
137,3.13005348040928e-05,9.19396758917838e-06
138,5.25399238817966e-05,6.4829976187528e-07
139,3.04721213635125e-06,4.76892270116282e-06
140,1.90488535667556e-07,9.43860974119931e-06
141,1.2015837792094e-07,1.00094743645865e-06
142,4.91913789477405e-05,5.73328117368447e-06
143,1.45658482813121e-05,5.79581644282666e-06
144,1.85578259861776e-05,2.27697713684766e-05
145,7.85161073354885e-08,3.54550387852876e-06
146,1.83136762990875e-05,1.24045512821654e-05
147,5.34213953033722e-06,1.54518675404105e-05
148,8.32216315262097e-06,8.72816584148988e-08
149,2.92355096374591e-06,4.04875462277125e-06
150,2.04681147723047e-05,5.45147441373326e-06
151,6.62678727750575e-05,6.15164491095641e-06
152,1.95723430481835e-06,1.22742120767489e-07
153,2.73771340077378e-05,6.21796938151021e-06
154,9.36286565625399e-06,2.35624414351769e-06
155,6.46485031017314e-06,3.48494250467601e-07
156,1.37271431600795e-11,4.16897392756365e-06
157,2.27471846658678e-05,1.73082028800781e-06
158,2.57745864608636e-08,5.1037208005784e-06
159,1.14241465899492e-05,6.84914664598304e-06
160,1.6334800196183e-08,7.6367997629074e-06
161,2.63930321575672e-07,4.02480132014428e-07
162,9.14863559947324e-07,3.56870040226517e-06
163,3.56297992069675e-06,1.5379391248565e-05
164,2.44713251350989e-06,1.28166801624851e-06
165,1.02350284742749e-05,4.43325554878324e-06
166,3.47122637037027e-07,3.61856728279785e-06
167,3.86323393597118e-06,2.23582929059572e-06
168,3.95962025194258e-07,7.95702488186465e-06
169,6.82370361398501e-05,9.89234969311374e-06
170,3.21237754912152e-06,9.54816076376656e-06
171,3.24264083462887e-07,3.33702830240748e-06
172,2.22744002191668e-06,1.5508164091622e-06
173,1.8771117036967e-06,3.90402359857414e-06
174,4.47443753435639e-07,2.98514553136046e-06
175,4.85010989545454e-05,7.33583832575194e-06
176,1.661593211662e-07,1.15869303296335e-06
177,6.45345117786707e-08,2.13957936515505e-06
178,1.3651141120329e-05,8.95908086094352e-08
179,1.40467808970219e-06,5.28687906621446e-07
180,1.47190208577443e-06,1.08844093251574e-05
181,1.62424331112815e-05,3.53541454920934e-06
182,5.47481732611224e-06,3.1555020421038e-05
183,1.40233719071962e-06,3.43251056528484e-06
184,3.56035518822214e-06,4.25238037304182e-06
185,9.47949760430889e-10,4.11577670356588e-06
186,1.31078426221831e-06,6.10765782635847e-06
187,9.98970939465373e-06,1.34679557520438e-06
188,1.04067785573532e-05,1.89177384231585e-06
189,2.62506676158378e-06,2.67980256959364e-06
190,1.68062703359385e-05,2.04819908898718e-06
191,1.85370779370851e-06,1.70308968334539e-05
192,2.66193361661293e-06,7.20042005579255e-06
193,4.79619460940372e-05,2.89567016101815e-06
194,2.9418167006946e-06,8.72104170667742e-06
195,1.60072011560522e-05,1.23940845463891e-05
196,1.5180506959334e-07,2.47624432174908e-06
197,2.5004199120056e-06,1.05579237834655e-05
198,5.77279675041738e-06,5.47036205734177e-06
199,1.15269488882431e-08,3.3621512244579e-06
