Pot.No,Block,Realized_PosA,Realized_PosB,AccID_Tester_posA,AccID_Target_posB,CommunityType,RealizedComposition,Rosette_PosA_22to24March,Rosette_PosB_22to24March,DateOfFirstFlowering.PosA,DateOfFirstFlowering.PosB,washingDateRoot,RootMass_mg,RootMass_mg_corrected,Biomass_mg_posA,Biomass_mg_posB,PotBiomass_mg
G1,b1,Col,Ci5,6909,6908,mixture,Col Ci5,8,7,03/24/2016,04/12/2016,04/20/2012,184.4,241.03,709,398,1107
G2,b1,Col,Ll0,6909,6933,mixture,Col Ll0,9,6,03/27/2016,NA,04/20/2012,112.6,169.23,786,248,1034
G3,b1,Col,Nfa10,6909,6943,mixture,Col Nfa10,8,6,03/24/2016,04/03/2016,04/19/2012,218.1,248.48,938,436,1374
G4,b1,Col,Nfa8,6909,6944,mixture,Col Nfa8,9.5,8,03/22/2016,03/31/2016,04/17/2012,186.2,186.20,1036,390,1426
G5,b1,Col,Spr16,6909,6965,mixture,Col Spr16,8,6,03/24/2016,NA,04/18/2012,185.3,206.10,775,295,1070
G6,b1,Col,NA,6909,NA,single,Col,8.5,NA,03/27/2016,NA,04/17/2012,111.1,111.10,825,NA,NA
G7,b1,Col,Kz9,6909,6931,mixture,Col Kz9,8,8.5,03/27/2016,03/27/2016,04/17/2012,158.4,158.40,738,693,1431
G8,b1,Col,An1,6909,6898,mixture,Col An1,7.5,7,03/27/2016,03/20/2016,04/20/2012,126.8,183.43,724,443,1167
G9,b1,Col,Bay,6909,6899,mixture,Col Bay,7.5,8,03/24/2016,03/22/2016,04/19/2012,175.8,206.18,539,882,1421
G10,b1,Col,Bil5,6909,6900,mixture,Col Bil5,7,6,03/29/2016,NA,04/19/2012,145.2,175.58,915,140,1055
G11,b1,Col,Bil7,6909,6901,mixture,Col Bil7,7.5,5.5,03/27/2016,NA,04/17/2012,105.7,105.70,729,122,851
G12,b1,Col,Bor1,6909,5837,mixture,Col Bor1,8.5,7,03/24/2016,04/03/2016,04/19/2012,152.7,183.08,733,492,1225
G13,b1,Col,Br0,6909,6904,mixture,Col Br0,10.5,8.5,03/24/2016,NA,04/19/2012,216.7,247.08,923,598,1521
G14,b1,Col,Bur,6909,6905,mixture,Col Bur,9,7.5,03/27/2016,04/07/2016,04/17/2012,295.9,295.90,850,523,1373
G15,b1,Col,C24,6909,6906,mixture,Col C24,8,8,03/24/2016,03/29/2016,04/19/2012,150.9,181.28,655,666,1321
G16,b1,Col,Col,6909,6909,monoculture,Col Col,8,9.5,03/27/2016,03/27/2016,04/19/2012,154.1,184.48,694,677,1371
G17,b1,Col,Ct,6909,6910,mixture,Col Ct,4.5,7.5,03/31/2016,03/27/2016,NA,NA,NA,278,489,767
