Position	Beta1
363	0.338636
730	0.081486
1645	1.889437
1646	1.889437
2748	2.280928
2826	2.280928
3102	-0.228037
6449	1.360092
6768	2.50006
7121	1.360092
9250	0
10028	4.440056
10294	4.440056
10449	4.240667
14012	0
15283	4.626691
15284	4.626691
15293	-0.333293
15725	4.436106
16855	0
17624	0
18961	0
20176	2.050339
20486	2.078706
20532	-0.289159
22142	0
22889	2.095307
23093	2.095307
23235	-0.328397
23838	0
28948	0
30529	0
31223	4.010548
31277	4.190899
31301	4.170864
32494	0
33322	2.194744
33651	-0.31039
33655	2.194744
38946	0
40465	6.011735
40599	6.011735
40665	5.963408
40705	4.974046
41146	1.136656
41178	1.81914
41384	2.972866
41427	3.035295
41519	-0.558217
41860	1.616512
42433	5.50884
42444	5.128118
42488	5.128118
42902	9.625483
43025	4.010548
43172	4.190899
44066	-0.057668
44194	0.386298
44567	0.299111
44568	-0.193482
45630	0
47348	7.09865
47374	7.09865
47502	6.787212
47503	7.09865
47513	1.626638
47577	0.40687
48987	1.805945
49080	1.614512
49107	3.091203
49493	8.193701
49675	8.743062
49704	8.743062
49845	8.652196
50100	8.386735
50371	1.898877
51100	5.934921
51101	6.091615
51187	8.243118
51229	8.291585
51602	7.824612
51716	5.379314
51814	-0.131259
51878	3.989695
52425	-0.175367
52909	-0.051746
53729	0
54811	0
55362	2.376924
55425	3.066902
55678	3.135491
56634	11.078361
56715	13.38287
56809	13.38287
56810	13.38287
56816	13.38287
56823	12.652998
56909	14.753444
57063	12.907648
57140	12.674769
57397	8.725554
57809	3.967621
57817	3.967621
59590	4.577107
59638	4.577107
59692	4.577107
61097	0
63644	1.187302
63759	0.906287
63915	1.328429
64149	0.192476
67013	0
67519	0.971746
67663	1.921468
67827	-0.390466
67913	1.650307
68531	2.002843
68533	1.827085
68545	3.914237
68550	4.03198
68880	5.328579
68886	4.098919
68989	7.411999
69039	5.794842
69176	8.745457
69260	9.985372
69311	9.985372
69546	6.64907
69654	6.64907
69718	5.026009
71326	0
72924	-0.112561
72956	-0.156915
73467	0
74905	2.568448
75223	4.460493
75231	-0.184048
75481	2.134557
76964	18.321479
77034	15.627339
77039	2.552158
77100	21.348874
77227	3.190868
77228	22.495491
77229	22.463088
77256	4.438604
77277	23.223692
77408	23.410637
77429	23.391765
77433	23.391765
77442	23.410637
77458	12.678139
77460	11.932974
77500	21.296363
77515	9.951108
77535	17.81886
77556	12.487436
77703	12.5376
77705	7.965601
77748	12.709717
77757	12.234595
77765	12.261391
77882	9.244553
77889	12.335094
77971	8.735526
78036	9.038231
78157	5.372252
78170	5.420129
78265	5.933702
78272	5.254997
78354	7.116336
78464	6.496501
78519	3.681959
78718	0.586539
78728	3.600027
78803	1.127956
79902	2.593642
80061	2.304691
80081	0.336603
80291	2.203061
81030	4.002895
81186	7.64827
81333	8.788702
81675	6.426129
81682	8.540633
81765	8.615962
82179	5.099864
82197	3.544327
82710	4.265592
83005	4.265592
83023	4.265592
83749	3.784089
83754	3.883271
83769	3.883271
85260	5.643236
85277	5.569997
85416	6.650282
85473	6.511729
85561	5.611263
85667	6.335009
85680	6.756015
85769	3.643003
85860	7.194877
85897	5.02827
86152	5.544547
86163	8.387883
86201	6.566081
86365	4.745934
86413	4.217323
86423	2.820322
86430	5.051734
86431	1.375954
86433	5.051734
86591	4.217323
86622	4.217323
87184	1.073897
87614	2.942114
87777	1.815482
87791	-0.25259
88457	0.710542
88658	0.376287
89630	2.835882
89754	2.749312
90053	2.417284
91151	1.257677
91172	1.132385
92165	2.288553
92532	2.288553
93249	0
95653	1.538223
95749	2.990487
96232	9.385687
96337	8.365939
96521	6.864274
96703	8.365939
96726	8.365939
97435	1.890058
97473	-0.134036
97902	1.859611
99785	1.414325
99956	1.872023
100099	2.597785
100370	2.222432
100377	0.855765
100501	1.425606
102086	1.297569
102292	1.216944
103012	2.728253
103059	0.763038
103216	2.728776
103963	1.453682
104045	1.347122
104192	1.867589
105323	1.370573
105788	1.466937
107322	4.411529
107510	4.411529
107710	4.411529
108399	0.364533
108400	0.157777
108403	0.402557
109257	0
111997	0
114042	0
114701	0
116183	0
117199	1.83418
117223	5.117122
117226	5.117122
117247	5.117122
117286	5.117122
117328	2.229983
117329	2.229983
118908	-0.046844
119003	3.316916
119191	3.440184
119470	3.634093
120661	0
121249	0
126927	2.132796
127283	2.132796
129157	7.601995
129158	7.601995
129419	7.601995
129441	7.601995
129451	6.98457
130139	0
130857	0.521304
130921	0.124227
131456	0.644812
131494	0.340656
131514	4.856403
131883	5.57459
131889	5.57459
131977	6.447608
132430	2.588802
132773	-0.150125
132825	1.011295
133591	6.996505
133607	1.180256
133794	0.88589
133809	6.996505
133835	6.996505
133902	6.996505
133922	6.996505
135493	0.267757
135972	0.638432
136717	0.455863
136778	-0.064981
138165	7.073672
138195	7.073672
138240	8.188196
138250	8.188196
138254	8.188196
138300	8.188196
138467	8.483068
138627	9.769888
138951	9.78244
138989	8.958819
139040	8.648107
139226	7.280264
139251	7.128673
139393	0.466976
139732	0.574368
140216	-0.09283
140411	0.734165
141153	0
141693	1.20415
141710	1.232459
142453	0.559295
142940	0.50869
143509	1.075513
143629	1.136743
143632	1.136743
143883	3.340139
143988	3.156439
144140	3.453414
144373	0.593666
144410	0.970272
144796	0.853798
144806	0.887355
144832	1.163807
145567	0
146182	1.548242
146280	1.617962
146734	0.652341
152685	0
153692	0
154679	-0.259175
154887	1.678945
154994	1.751908
156456	0
158164	1.543972
158305	-0.148153
158596	3.178658
158716	2.431204
159122	0.507828
159210	0.827163
159758	0
160515	0
162028	0
162915	3.110476
162925	3.110476
163306	4.285132
163333	0.935562
163492	6.583246
163681	6.938376
163766	4.491215
163815	5.266338
164158	4.768684
165625	0.739951
165913	0.981138
166221	2.858543
166251	2.858543
166865	2.019361
167256	1.962863
168836	0
169883	0.22375
170122	2.440917
170319	2.405505
170599	0.067903
171352	0.897503
171538	2.386488
171573	5.199344
171626	3.64169
171899	3.055852
172053	2.65997
172182	3.814108
172594	1.538223
173453	2.963855
173827	9.871925
173852	12.25389
173991	12.944605
174024	14.133961
174052	14.133961
174087	13.39645
174088	13.728124
174262	18.140136
174329	14.989102
174332	14.989102
174418	17.071943
174458	17.071943
174605	10.841196
174659	14.892145
174751	10.73001
174816	16.14501
174849	12.144589
175085	10.43347
175126	11.072151
175269	11.244717
175613	16.316731
175681	16.185828
175747	7.61597
175775	12.950741
175819	14.859693
175825	14.859693
175855	14.859693
175877	12.950741
175878	12.950741
176031	16.322627
176382	3.404699
176389	3.404699
176720	7.574083
176955	5.693842
177009	5.693842
177117	5.29322
177121	5.29322
177232	0.811658
178456	6.228166
178567	8.467228
178575	8.467228
178830	9.027675
178995	7.108769
179209	3.507596
179597	10.320231
179658	12.314881
179664	12.314881
179706	12.314881
180022	12.185251
180084	12.185251
180085	12.185251
180123	10.590715
180322	4.910751
180336	4.910751
180925	1.912017
181258	3.595951
181261	4.03061
181486	1.005515
181496	5.169657
181975	6.730667
181976	6.855097
182138	5.534285
182139	5.534285
182743	5.980097
182849	7.685231
183024	7.974959
183099	7.860589
183172	7.974959
183848	0
184847	0
190481	0
191714	0
192251	6.683444
192286	6.683444
192523	-0.815709
192654	8.971997
192682	8.971997
192889	8.971997
193207	4.577107
193288	4.577107
196709	0.866096
196958	4.24433
197242	3.647455
197293	3.647455
198384	1.129001
198549	0.934124
199141	6.413803
199151	6.413803
199192	8.146192
199193	8.146192
199521	5.740859
199671	4.456322
200402	0
202392	1.425307
202458	2.561677
202730	2.561677
204384	1.15172
204627	1.117094
206118	0
207099	1.454929
207154	1.423338
207687	1.540413
207711	1.56689
208415	0
209720	-0.10509
209891	-0.01373
210424	0
212828	2.742209
213189	7.655923
213223	7.619607
213520	12.196384
213543	11.815213
213747	6.411374
213911	8.110975
213916	8.110975
215075	1.257677
215206	1.132385
216654	2.205764
216978	4.411529
217262	2.205764
217919	0
220756	0.23172
221204	6.235641
221606	7.483374
221682	7.483374
221700	7.483374
221702	7.483374
221792	2.118908
222444	16.315719
222445	16.315719
222475	16.315719
222487	16.315719
222488	16.315719
222501	16.315719
222502	16.315719
222540	16.315719
222595	16.315719
222603	4.787422
222616	14.659153
223142	1.56483
223147	0.261288
223527	1.655773
224978	-0.193908
225129	0.01596
225675	1.807886
226165	1.793093
226741	0
230858	0
231674	7.483714
231683	7.483714
231744	6.837481
231810	8.54552
232049	14.564609
232287	13.536771
232407	12.881894
232419	13.193427
232510	12.787005
232695	11.366812
232754	11.366812
232757	11.366812
232846	10.032279
233534	0
235122	0
237189	0
238042	5.015177
238229	4.154174
238282	2.432045
238327	3.182032
238348	6.573166
238363	2.555614
238424	2.622682
238425	10.375442
238752	2.196656
238792	24.541696
238870	36.65223
238913	37.148648
238928	35.377051
238983	35.201756
238993	33.260706
239008	37.481766
239072	2.762124
239124	37.481766
239193	36.55848
239196	34.935939
239203	37.481766
239213	37.49031
239219	33.260706
239228	37.481766
239238	36.55848
239259	5.552993
239262	37.501484
239265	33.263256
239276	0.204634
239328	14.205442
239340	35.170613
239341	0.244926
239438	0.078954
239492	27.303992
241750	0
242323	-0.167212
242678	-0.068123
242844	1.969384
243192	2.389987
243225	1.674649
243829	0
245038	5.253941
245112	5.253941
245432	6.386326
245435	5.779541
245677	3.581151
246084	2.97336
246309	1.840975
247065	4.756957
247312	5.191899
247323	5.191899
247357	5.191899
247410	5.191899
248028	1.325949
248029	0.829282
248437	1.592794
248737	0.810176
249083	1.104018
249479	0.437042
250295	0
251145	0
251878	2.438563
251905	2.438563
252349	3.571347
252421	0.993549
252879	-0.191097
253601	0.031028
253832	-0.014142
254933	3.513303
254962	4.00094
255349	10.436149
255355	1.243721
255486	5.169252
255593	7.118096
255597	1.847234
255623	7.488896
255838	7.488896
255885	3.838641
257657	0.042381
257661	3.442486
257705	3.450156
257710	2.4394
259124	0
259953	0
260832	5.950938
260958	6.264547
261079	6.264547
261240	6.264547
261773	2.288724
262148	2.141373
262228	1.293188
262243	1.542069
262864	1.880354
